Дата;На входе;На выходе
01.03.2017 12:27;23.6;23.9
01.03.2017 12:42;25.2;25
01.03.2017 12:57;27.7;27.6
01.03.2017 13:12;25.8;26
01.03.2017 13:27;23.6;23.8
01.03.2017 13:42;24.1;24.2
01.03.2017 13:57;27.2;27.3
01.03.2017 14:12;26.2;26.3
01.03.2017 14:27;23.9;24.1
01.03.2017 14:42;22.8;23
01.03.2017 14:57;26.1;26.2
01.03.2017 15:12;27.7;27.6
01.03.2017 15:27;25;25.3
01.03.2017 15:42;23.3;23.5
01.03.2017 15:57;24.3;24.1
01.03.2017 16:12;27.3;27.4
01.03.2017 16:27;25.9;26.1
01.03.2017 16:42;23.9;24.1
01.03.2017 16:57;22.7;23
01.03.2017 17:12;26.1;26
01.03.2017 17:27;27;27.1
01.03.2017 17:42;24.6;24.9
01.03.2017 17:57;23.1;23.4
01.03.2017 18:12;24.2;24.5
01.03.2017 18:27;27.7;27.6
01.03.2017 18:42;26.3;26.5
01.03.2017 18:57;24.2;24.5
01.03.2017 19:12;22.9;23.1
01.03.2017 19:27;26;26
01.03.2017 19:42;27.5;27.5
01.03.2017 19:57;25;25.3
01.03.2017 20:12;23.4;23.6
01.03.2017 20:27;24.5;24.5
01.03.2017 20:42;27.7;27.6
01.03.2017 20:57;26.1;26.2
01.03.2017 21:12;24;24.3
01.03.2017 21:27;23;23.2
01.03.2017 21:42;26.5;26.5
01.03.2017 21:57;27.7;27.8
01.03.2017 22:12;25.2;25.4
01.03.2017 22:27;23.5;23.8
01.03.2017 22:42;24;24.1
01.03.2017 22:57;27.6;27.5
01.03.2017 23:12;26.2;26.3
01.03.2017 23:27;24.1;24.3
01.03.2017 23:42;22.9;23.1
01.03.2017 23:57;26.2;26.1
02.03.2017 0:12;27.2;27.3
02.03.2017 0:27;24.8;25.1
02.03.2017 0:42;23.3;23.5
02.03.2017 0:57;24.7;24.7
02.03.2017 1:12;27.7;27.8
02.03.2017 1:27;26.3;26.5
02.03.2017 1:42;24.1;24.4
02.03.2017 1:57;22.9;23.1
02.03.2017 2:12;26;26
02.03.2017 2:27;27.3;27.3
02.03.2017 2:42;24.8;25.1
02.03.2017 2:57;23.2;23.5
02.03.2017 3:12;24.3;24.3
02.03.2017 3:27;27.6;27.5
02.03.2017 3:42;25.8;26
02.03.2017 3:57;23.8;24
02.03.2017 4:12;22.9;23.1
02.03.2017 4:27;26.4;26.3
02.03.2017 4:42;27.6;27.6
02.03.2017 4:57;25;25.3
02.03.2017 5:12;23.3;23.5
02.03.2017 5:27;23.8;24
02.03.2017 5:42;27.4;27.3
02.03.2017 5:57;25.9;26.1
02.03.2017 6:12;23.8;24.1
02.03.2017 6:27;22.6;22.9
02.03.2017 6:42;26;25.9
02.03.2017 6:57;27;27.1
02.03.2017 7:12;24.6;24.8
02.03.2017 7:27;23;23.3
02.03.2017 7:42;24.3;24.3
02.03.2017 7:57;27.6;27.5
02.03.2017 8:12;26;26.1
02.03.2017 8:27;23.8;24.1
02.03.2017 8:42;22.6;22.8
02.03.2017 8:57;25.7;25.5
02.03.2017 9:12;27;27
02.03.2017 9:27;24.6;24.8
02.03.2017 9:42;23;23.2
02.03.2017 9:57;23.5;23.6
02.03.2017 10:12;26.7;26.9
02.03.2017 10:27;25.6;25.8
02.03.2017 10:42;23.6;23.9
02.03.2017 10:57;22.4;22.6
02.03.2017 11:12;25.3;25.2
02.03.2017 11:27;27.6;27.5
02.03.2017 11:42;25.1;25.3
02.03.2017 11:57;23.3;23.5
02.03.2017 12:12;22.3;22.5
02.03.2017 12:27;25.9;25.7
02.03.2017 12:42;26.4;26.5
02.03.2017 12:57;24.1;24.4
02.03.2017 13:12;22.7;23
02.03.2017 13:27;22.8;23
02.03.2017 13:42;26.6;26.5
02.03.2017 13:57;25.5;25.6
02.03.2017 14:12;23.5;23.8
02.03.2017 14:27;22.3;22.6
02.03.2017 14:42;24.1;24.2
02.03.2017 14:57;27.4;27.2
02.03.2017 15:12;25.2;25.3
02.03.2017 15:27;23.3;23.6
02.03.2017 15:42;22.1;22.5
02.03.2017 15:57;25;24.8
02.03.2017 16:12;26.7;26.8
02.03.2017 16:27;24.5;24.6
02.03.2017 16:42;22.9;23.1
02.03.2017 16:57;22.3;22.5
02.03.2017 17:12;26.1;26
02.03.2017 17:27;26;26.1
02.03.2017 17:42;23.8;24.1
02.03.2017 17:57;22.5;22.8
02.03.2017 18:12;23.6;23.6
02.03.2017 18:27;27;27
02.03.2017 18:42;25.7;25.9
02.03.2017 18:57;23.6;24
02.03.2017 19:12;22.3;22.7
02.03.2017 19:27;24;24.1
02.03.2017 19:42;27;27.1
02.03.2017 19:57;25;25.2
02.03.2017 20:12;23.2;23.4
02.03.2017 20:27;22.1;22.4
02.03.2017 20:42;25.4;25.4
02.03.2017 20:57;26.5;26.6
02.03.2017 21:12;24.2;24.5
02.03.2017 21:27;22.7;23
02.03.2017 21:42;23.1;23.1
02.03.2017 21:57;26.6;26.6
02.03.2017 22:12;26.1;26.3
02.03.2017 22:27;23.9;24.1
02.03.2017 22:42;22.5;22.8
02.03.2017 22:57;23.6;23.7
02.03.2017 23:12;27.1;26.9
02.03.2017 23:27;25.1;25.3
02.03.2017 23:42;23.2;23.5
02.03.2017 23:57;22.1;22.4
03.03.2017 0:12;25.1;25.3
03.03.2017 0:27;26.5;26.6
03.03.2017 0:42;24.2;24.4
03.03.2017 0:57;22.7;22.9
03.03.2017 1:12;23.1;23.1
03.03.2017 1:27;26.5;26.5
03.03.2017 1:42;26.1;26.3
03.03.2017 1:57;23.9;24.1
03.03.2017 2:12;22.5;22.8
03.03.2017 2:27;24.1;24.1
03.03.2017 2:42;27.1;27.1
03.03.2017 2:57;25;25.1
03.03.2017 3:12;23.1;23.4
03.03.2017 3:27;22.3;22.5
03.03.2017 3:42;25.8;25.8
03.03.2017 3:57;26.1;26.3
03.03.2017 4:12;23.9;24.1
03.03.2017 4:27;22.5;22.8
03.03.2017 4:42;24.1;24.1
03.03.2017 4:57;27.4;27.3
03.03.2017 5:12;25.5;25.7
03.03.2017 5:27;23.5;23.7
03.03.2017 5:42;22.2;22.5
03.03.2017 5:57;25.3;25.3
03.03.2017 6:12;26.7;26.8
